id,name,abs_mag,est_dia_min,est_dia_max,epoch,min_orb_inter,jup_tisser,e,a,i,asc_node_long,peri_arg,orb_period,peri_dist,ap_dist,mean_ano,mean_mot,hazard
3686272,(2014 QN434),25.0,0.02658,0.0594346868,2456901.5,.0882724,5.321,.07829936020794177,1.181833388148616,14.84469965714072,155.6211181018353,207.9215311066498,469.2808254757633,1.089296589984195,1.274370186313037,338.2354321058372,.7671312793038733,0
3686281,(2014 QO434),20.7,0.1925550782,0.4305662442,2459600.5,.21164,5.099,.4424611304546968,1.223575184014758,13.23745150511574,311.4214236020692,161.7318374197433,494.3612449306397,.6821907248992747,1.764959643130242,58.862669669247,.7282124229833369,0
3686283,(2014 QP434),27.8,0.0073207399,0.016369672,2459600.5,.00630586,3.246,.587764538635221,2.421199858310217,6.494366501373388,334.9884714797972,341.1998213292533,1376.082229904857,.9981044406468498,3.844295275973585,350.8478966153157,.2616122729997687,0
3686284,(2014 QQ434),20.25,0.2368944994,0.5297122041,2456909.5,.18261,3.152,.6797385242811991,2.379059021814359,13.48797686712372,226.6220274985753,176.1672020949659,1340.313067096753,.7619209531483936,3.996197090480325,345.2600934748077,.2685939642294128,0
3687132,(2014 QJ439),21.8,0.1160259082,0.2594418179,2459600.5,.279579,3.091,.5437009107568676,2.793157364693037,2.998967498750685,82.51159504018314,283.2005022618916,1705.067330390546,1.274515161622181,4.311799567763893,201.1703362493341,.2111353572867659,0
3687134,(2014 QK439),23.8,0.046190746,0.1032856481,2459600.5,.129725,3.464,.4931117014803492,2.215870102668775,10.59168588699277,355.7423636478574,336.9571380653227,1204.799763680343,1.123198626082339,3.308541579255211,87.97646741534442,.2988048394866012,0
3687789,(2014 QP439),20.4,0.2210828104,0.4943561926,2456898.5,.499551,3.478,.4078281495613219,2.173984022491851,23.30646467995669,142.4124518836338,263.9174200508617,1170.800633626888,1.28737214142312,3.060595903560581,328.4804375884273,.3074818971397356,0
3684737,(2014 RA),28.9,0.004411182,0.0098637028,2459600.5,.00016934,4.503,.4563210393635442,1.461280034865738,3.132986724954545,157.9018487258528,109.0625351927392,645.2063052613627,.7944672105546083,2.128092859176868,93.74042949808069,.5579610692957655,0
3685273,(2014 RC),26.8,0.0116025908,0.0259441818,2459600.5,7.28768E-5,4.889,.3750021336505586,1.31379918970301,4.568786463223637,344.9101957817414,71.07922159723145,550.0370084850017,.8211216903760062,1.806476689030014,288.9824695494915,.6545014143531334,0
3685632,(2014 RJ),25.4,0.022108281,0.0494356193,2456903.5,.0190474,4.635,.2713543334126758,1.409570021560991,19.56990001571541,161.6785298540768,176.1469386041695,611.2634227118343,1.027077087961817,1.792062955160164,1.492959344268992,.5889441223276228,0
3685815,(2014 RD11),22.8,0.0732073989,0.1636967205,2456911.5,.0306641,2.900,.7818788080355905,2.569394588235377,2.841765589931976,7.635556412276256,230.2025893836871,1504.335258048417,.5604394102128036,4.578349766257951,16.20604823577402,.23930835767755,0
3685816,(2014 RE11),22.7,0.0766575574,0.1714115092,2459600.5,.0441211,7.621,.7117928281322142,.7262881550893625,29.59188771995217,163.4214572422207,19.29086983962492,226.079856552887,.2093214551393769,1.243254855039348,77.71924827167376,1.592357698244492,0
